k = 2  k = 2  4 = 2 + 2 = 2 * 2
k = 3  k = 3  6 = 3 + 2 + (1) 1  = 3 * 2 * (1) 1
k = 4  k = 4  8 = 4 + 2 + (2) 1  = 4 * 2 * (2) 1
k = 5  k = 5  8 = 2 + 2 + 2 + (2) 1  = 2 * 2 * 2 * (2) 1
k = 6  k = 6  12 = 6 + 2 + (4) 1  = 6 * 2 * (4) 1
k = 7  k = 7  12 = 4 + 3 + (5) 1  = 4 * 3 * (5) 1
k = 8  k = 8  12 = 3 + 2 + 2 + (5) 1  = 3 * 2 * 2 * (5) 1
k = 9  k = 9  15 = 5 + 3 + (7) 1  = 5 * 3 * (7) 1
k = 10  k = 10  16 = 4 + 4 + (8) 1  = 4 * 4 * (8) 1
k = 11  k = 11  16 = 4 + 2 + 2 + (8) 1  = 4 * 2 * 2 * (8) 1
k = 12  k = 12  16 = 2 + 2 + 2 + 2 + (8) 1  = 2 * 2 * 2 * 2 * (8) 1
k = 13  k = 13  18 = 3 + 3 + 2 + (10) 1  = 3 * 3 * 2 * (10) 1
k = 14  k = 14  28 = 14 + 2 + (12) 1  = 14 * 2 * (12) 1
k = 15  k = 15  24 = 8 + 3 + (13) 1  = 8 * 3 * (13) 1
k = 16  k = 16  24 = 6 + 4 + (14) 1  = 6 * 4 * (14) 1
k = 17  k = 17  25 = 5 + 5 + (15) 1  = 5 * 5 * (15) 1
k = 18  k = 18  24 = 4 + 3 + 2 + (15) 1  = 4 * 3 * 2 * (15) 1
k = 19  k = 19  24 = 3 + 2 + 2 + 2 + (15) 1  = 3 * 2 * 2 * 2 * (15) 1
k = 20  k = 20  40 = 20 + 2 + (18) 1  = 20 * 2 * (18) 1
k = 21  k = 21  27 = 3 + 3 + 3 + (18) 1  = 3 * 3 * 3 * (18) 1
k = 22  k = 22  32 = 8 + 4 + (20) 1  = 8 * 4 * (20) 1
k = 23  k = 23  30 = 5 + 3 + 2 + (20) 1  = 5 * 3 * 2 * (20) 1
k = 24  k = 24  48 = 24 + 2 + (22) 1  = 24 * 2 * (22) 1
k = 25  k = 25  32 = 4 + 4 + 2 + (22) 1  = 4 * 4 * 2 * (22) 1
k = 26  k = 26  32 = 4 + 2 + 2 + 2 + (22) 1  = 4 * 2 * 2 * 2 * (22) 1
k = 27  k = 27  32 = 2 + 2 + 2 + 2 + 2 + (22) 1  = 2 * 2 * 2 * 2 * 2 * (22) 1
k = 28  k = 28  40 = 10 + 4 + (26) 1  = 10 * 4 * (26) 1
k = 29  k = 29  40 = 8 + 5 + (27) 1  = 8 * 5 * (27) 1
k = 30  k = 30  36 = 3 + 3 + 2 + 2 + (26) 1  = 3 * 3 * 2 * 2 * (26) 1
k = 31  k = 31  42 = 7 + 6 + (29) 1  = 7 * 6 * (29) 1
k = 32  k = 32  40 = 5 + 4 + 2 + (29) 1  = 5 * 4 * 2 * (29) 1
k = 33  k = 33  45 = 9 + 5 + (31) 1  = 9 * 5 * (31) 1
k = 34  k = 34  48 = 12 + 4 + (32) 1  = 12 * 4 * (32) 1
k = 35  k = 35  54 = 18 + 3 + (33) 1  = 18 * 3 * (33) 1
k = 36  k = 36  48 = 8 + 6 + (34) 1  = 8 * 6 * (34) 1
k = 37  k = 37  49 = 7 + 7 + (35) 1  = 7 * 7 * (35) 1
k = 38  k = 38  76 = 38 + 2 + (36) 1  = 38 * 2 * (36) 1
k = 39  k = 39  48 = 6 + 4 + 2 + (36) 1  = 6 * 4 * 2 * (36) 1
k = 40  k = 40  48 = 4 + 4 + 3 + (37) 1  = 4 * 4 * 3 * (37) 1
k = 41  k = 41  48 = 4 + 3 + 2 + 2 + (37) 1  = 4 * 3 * 2 * 2 * (37) 1
k = 42  k = 42  48 = 3 + 2 + 2 + 2 + 2 + (37) 1  = 3 * 2 * 2 * 2 * 2 * (37) 1
k = 43  k = 43  56 = 8 + 7 + (41) 1  = 8 * 7 * (41) 1
k = 44  k = 44  88 = 44 + 2 + (42) 1  = 44 * 2 * (42) 1
k = 45  k = 45  60 = 12 + 5 + (43) 1  = 12 * 5 * (43) 1
k = 46  k = 46  60 = 10 + 6 + (44) 1  = 10 * 6 * (44) 1
k = 47  k = 47  54 = 3 + 3 + 3 + 2 + (43) 1  = 3 * 3 * 3 * 2 * (43) 1
k = 48  k = 48  96 = 48 + 2 + (46) 1  = 48 * 2 * (46) 1
k = 49  k = 49  63 = 9 + 7 + (47) 1  = 9 * 7 * (47) 1
k = 50  k = 50  60 = 6 + 5 + 2 + (47) 1  = 6 * 5 * 2 * (47) 1
