Sum1:: Count gauss circle integer points at  1000  is  929460
823081 929460 1752541
1752541
a,Ca,b,Cb,n,Cn
1 , 2 , 1 , 62 , 1 , 0
2 , 4 , 2 , 74 , 2 , 1
3 , 6 , 3 , 74 , 3 , 0
4 , 8 , 4 , 78 , 4 , 1
5 , 10 , 5 , 70 , 5 , 1
6 , 12 , 6 , 84 , 6 , 1
7 , 14 , 7 , 62 , 7 , 0
8 , 16 , 8 , 76 , 8 , 1
9 , 18 , 9 , 68 , 9 , 0
10 , 20 , 10 , 72 , 10 , 3
11 , 22 , 11 , 52 , 11 , 0
12 , 24 , 12 , 80 , 12 , 1
13 , 26 , 13 , 44 , 13 , 1
14 , 28 , 14 , 62 , 14 , 1
15 , 30 , 15 , 62 , 15 , 1
16 , 32 , 16 , 60 , 16 , 1
17 , 34 , 17 , 32 , 17 , 1
18 , 36 , 18 , 64 , 18 , 1
19 , 38 , 19 , 26 , 19 , 0
20 , 40 , 20 , 60 , 20 , 3
21 , 42 , 21 , 44 , 21 , 0
22 , 44 , 22 , 36 , 22 , 1
23 , 44 , 23 , 12 , 23 , 0
24 , 46 , 24 , 54 , 24 , 1
25 , 42 , 25 , 26 , 25 , 2
26 , 44 , 26 , 28 , 26 , 3
27 , 40 , 27 , 30 , 27 , 0
28 , 44 , 28 , 40 , 28 , 1
29 , 26 , 29 , 10 , 29 , 1
30 , 48 , 30 , 44 , 30 , 3
31 , 14 , 31 , 10 , 31 , 0
32 , 32 , 32 , 28 , 32 , 1
33 , 26 , 33 , 24 , 33 , 0
34 , 32 , 34 , 16 , 34 , 3
35 , 22 , 35 , 28 , 35 , 1
36 , 46 , 36 , 42 , 36 , 1
37 , 2 , 37 , 10 , 37 , 1
38 , 26 , 38 , 14 , 38 , 1
39 , 30 , 39 , 16 , 39 , 1
40 , 40 , 40 , 32 , 40 , 3
41 , 2 , 41 , 8 , 41 , 1
42 , 42 , 42 , 26 , 42 , 1
43 , 2 , 43 , 8 , 43 , 0
44 , 32 , 44 , 16 , 44 , 1
45 , 36 , 45 , 24 , 45 , 1
46 , 4 , 46 , 12 , 46 , 1
47 , 2 , 47 , 8 , 47 , 0
48 , 38 , 48 , 26 , 48 , 1
49 , 14 , 49 , 12 , 49 , 0
50 , 20 , 50 , 18 , 50 , 5
51 , 18 , 51 , 14 , 51 , 1
52 , 26 , 52 , 16 , 52 , 3
53 , 2 , 53 , 8 , 53 , 1
54 , 26 , 54 , 18 , 54 , 1
55 , 26 , 55 , 14 , 55 , 1
56 , 34 , 56 , 18 , 56 , 1
57 , 6 , 57 , 12 , 57 , 0
58 , 4 , 58 , 12 , 58 , 3
59 , 2 , 59 , 6 , 59 , 0
60 , 42 , 60 , 24 , 60 , 3
61 , 2 , 61 , 6 , 61 , 1
62 , 4 , 62 , 10 , 62 , 1
63 , 28 , 63 , 10 , 63 , 0
64 , 16 , 64 , 12 , 64 , 1
65 , 20 , 65 , 10 , 65 , 4
66 , 24 , 66 , 16 , 66 , 1
67 , 2 , 67 , 6 , 67 , 0
68 , 8 , 68 , 12 , 68 , 3
69 , 6 , 69 , 10 , 69 , 0
70 , 30 , 70 , 10 , 70 , 3
71 , 2 , 71 , 6 , 71 , 0
72 , 32 , 72 , 14 , 72 , 1
73 , 2 , 73 , 6 , 73 , 1
74 , 4 , 74 , 8 , 74 , 3
75 , 14 , 75 , 12 , 75 , 2
76 , 8 , 76 , 10 , 76 , 1
77 , 22 , 77 , 6 , 77 , 0
78 , 12 , 78 , 12 , 78 , 3
79 , 2 , 79 , 6 , 79 , 0
80 , 26 , 80 , 12 , 80 , 3
81 , 14 , 81 , 10 , 81 , 0
82 , 4 , 82 , 8 , 82 , 3
83 , 2 , 83 , 6 , 83 , 0
84 , 26 , 84 , 14 , 84 , 1
85 , 10 , 85 , 6 , 85 , 4
86 , 4 , 86 , 8 , 86 , 1
87 , 6 , 87 , 10 , 87 , 1
88 , 18 , 88 , 10 , 88 , 1
89 , 2 , 89 , 6 , 89 , 1
90 , 30 , 90 , 10 , 90 , 3
91 , 12 , 91 , 6 , 91 , 1
92 , 8 , 92 , 10 , 92 , 1
93 , 6 , 93 , 8 , 93 , 0
94 , 4 , 94 , 8 , 94 , 1
95 , 10 , 95 , 6 , 95 , 1
96 , 20 , 96 , 12 , 96 , 1
97 , 2 , 97 , 6 , 97 , 1
98 , 12 , 98 , 8 , 98 , 1
99 , 10 , 99 , 8 , 99 , 0
100 , 16 , 100 , 8 , 100 , 5
101 , 2 , 101 , 4 , 101 , 1
102 , 10 , 102 , 8 , 102 , 3
103 , 2 , 103 , 4 , 103 , 0
104 , 12 , 104 , 6 , 104 , 3
105 , 22 , 105 , 6 , 105 , 1
106 , 4 , 106 , 6 , 106 , 3
107 , 2 , 107 , 4 , 107 , 0
108 , 16 , 108 , 8 , 108 , 1
109 , 2 , 109 , 4 , 109 , 1
110 , 12 , 110 , 6 , 110 , 3
111 , 6 , 111 , 6 , 111 , 1
112 , 16 , 112 , 6 , 112 , 1
113 , 2 , 113 , 4 , 113 , 1
114 , 10 , 114 , 8 , 114 , 1
115 , 10 , 115 , 4 , 115 , 1
116 , 8 , 116 , 6 , 116 , 3
117 , 6 , 117 , 6 , 117 , 1
118 , 4 , 118 , 6 , 118 , 1
119 , 8 , 119 , 4 , 119 , 1
120 , 24 , 120 , 8 , 120 , 3
121 , 2 , 121 , 4 , 121 , 0
122 , 4 , 122 , 6 , 122 , 3
123 , 6 , 123 , 4 , 123 , 1
124 , 8 , 124 , 6 , 124 , 1
125 , 8 , 125 , 4 , 125 , 3
126 , 14 , 126 , 6 , 126 , 1
127 , 2 , 127 , 4 , 127 , 0
128 , 8 , 128 , 6 , 128 , 1
129 , 6 , 129 , 4 , 129 , 0
130 , 10 , 130 , 6 , 130 , 9
131 , 2 , 131 , 4 , 131 , 0
132 , 14 , 132 , 6 , 132 , 1
133 , 4 , 133 , 4 , 133 , 0
134 , 4 , 134 , 6 , 134 , 1
135 , 12 , 135 , 4 , 135 , 1
136 , 8 , 136 , 6 , 136 , 3
137 , 2 , 137 , 4 , 137 , 1
138 , 10 , 138 , 6 , 138 , 1
139 , 2 , 139 , 4 , 139 , 0
140 , 16 , 140 , 6 , 140 , 3
141 , 6 , 141 , 4 , 141 , 0
142 , 4 , 142 , 6 , 142 , 1
143 , 2 , 143 , 4 , 143 , 1
144 , 14 , 144 , 6 , 144 , 1
145 , 8 , 145 , 4 , 145 , 4
146 , 4 , 146 , 6 , 146 , 3
147 , 6 , 147 , 4 , 147 , 0
148 , 8 , 148 , 6 , 148 , 3
149 , 2 , 149 , 4 , 149 , 1
150 , 14 , 150 , 6 , 150 , 5
151 , 2 , 151 , 4 , 151 , 0
152 , 8 , 152 , 6 , 152 , 1
153 , 6 , 153 , 4 , 153 , 1
154 , 4 , 154 , 4 , 154 , 1
155 , 6 , 155 , 4 , 155 , 1
156 , 14 , 156 , 4 , 156 , 3
157 , 2 , 157 , 4 , 157 , 1
158 , 4 , 158 , 4 , 158 , 1
159 , 6 , 159 , 4 , 159 , 1
160 , 12 , 160 , 4 , 160 , 3
161 , 2 , 161 , 4 , 161 , 0
162 , 10 , 162 , 4 , 162 , 1
163 , 2 , 163 , 4 , 163 , 0
164 , 6 , 164 , 4 , 164 , 3
165 , 10 , 165 , 4 , 165 , 1
166 , 4 , 166 , 4 , 166 , 1
167 , 2 , 167 , 4 , 167 , 0
168 , 10 , 168 , 4 , 168 , 1
169 , 2 , 169 , 4 , 169 , 2
170 , 8 , 170 , 4 , 170 , 9
171 , 6 , 171 , 4 , 171 , 0
172 , 6 , 172 , 4 , 172 , 1
173 , 2 , 173 , 4 , 173 , 1
174 , 8 , 174 , 4 , 174 , 3
175 , 4 , 175 , 4 , 175 , 2
176 , 6 , 176 , 4 , 176 , 1
177 , 6 , 177 , 4 , 177 , 0
178 , 4 , 178 , 4 , 178 , 3
179 , 2 , 179 , 4 , 179 , 0
180 , 12 , 180 , 4 , 180 , 3
181 , 2 , 181 , 4 , 181 , 1
182 , 4 , 182 , 4 , 182 , 3
183 , 6 , 183 , 4 , 183 , 1
184 , 6 , 184 , 4 , 184 , 1
185 , 4 , 185 , 4 , 185 , 4
186 , 8 , 186 , 4 , 186 , 1
187 , 2 , 187 , 4 , 187 , 1
188 , 6 , 188 , 4 , 188 , 1
189 , 6 , 189 , 4 , 189 , 0
190 , 6 , 190 , 4 , 190 , 3
191 , 2 , 191 , 4 , 191 , 0
192 , 10 , 192 , 4 , 192 , 1
193 , 2 , 193 , 4 , 193 , 1
194 , 4 , 194 , 4 , 194 , 3
195 , 6 , 195 , 4 , 195 , 4
196 , 6 , 196 , 4 , 196 , 1
197 , 2 , 197 , 4 , 197 , 1
198 , 8 , 198 , 4 , 198 , 1
199 , 2 , 199 , 4 , 199 , 0
200 , 6 , 200 , 4 , 200 , 5
201 , 6 , 201 , 2 , 201 , 0
202 , 4 , 202 , 2 , 202 , 3
203 , 2 , 203 , 2 , 203 , 1
204 , 10 , 204 , 2 , 204 , 3
205 , 2 , 205 , 2 , 205 , 4
206 , 4 , 206 , 2 , 206 , 1
207 , 6 , 207 , 2 , 207 , 0
208 , 6 , 208 , 2 , 208 , 3
209 , 2 , 209 , 2 , 209 , 0
210 , 8 , 210 , 2 , 210 , 3
211 , 2 , 211 , 2 , 211 , 0
212 , 6 , 212 , 2 , 212 , 3
213 , 6 , 213 , 2 , 213 , 0
214 , 4 , 214 , 2 , 214 , 1
215 , 2 , 215 , 2 , 215 , 1
216 , 10 , 216 , 2 , 216 , 1
217 , 2 , 217 , 2 , 217 , 0
218 , 4 , 218 , 2 , 218 , 3
219 , 6 , 219 , 2 , 219 , 1
220 , 6 , 220 , 2 , 220 , 3
221 , 2 , 221 , 2 , 221 , 4
222 , 8 , 222 , 2 , 222 , 3
223 , 2 , 223 , 2 , 223 , 0
224 , 6 , 224 , 2 , 224 , 1
225 , 6 , 225 , 2 , 225 , 2
226 , 4 , 226 , 2 , 226 , 3
227 , 2 , 227 , 2 , 227 , 0
228 , 10 , 228 , 2 , 228 , 1
229 , 2 , 229 , 2 , 229 , 1
230 , 4 , 230 , 2 , 230 , 3
231 , 4 , 231 , 2 , 231 , 0
232 , 6 , 232 , 2 , 232 , 3
233 , 2 , 233 , 2 , 233 , 1
234 , 6 , 234 , 2 , 234 , 3
